CTF,CTF2,CTF3
0.674523,0.00967,-0.83313
0.060639,0.002816,-0.8384
0.759706,0.014798,-0.81854
0.995449,-0.022051,-0.82358
0.621582,-0.025625,-0.83639
0.134586,0.023448,-0.82777
0.808701,-0.000501,-0.82202
0.983967,0.008787,-0.83898
0.549829,-0.033614,-0.82689
0.226378,-0.027565,-0.84474
0.862452,0.029617,-0.84379
0.960447,-0.024957,-0.83815
0.45688,-0.030061,-0.83358
0.334235,-0.002863,-0.82939
0.915706,0.025712,-0.81678
0.919436,0.012895,-0.82987
0.340856,0.021665,-0.84323
0.454883,0.03282,-0.8415
0.961791,-0.019926,-0.82514
0.85508,-0.0091,-0.81549
0.200724,0.003673,-0.84086
0.583232,-0.006089,-0.83927
0.992554,-0.001414,-0.83645
0.761584,0.047863,-0.81337
0.037406,-0.02006,-0.81976
0.711839,0.034518,-0.81605
0.998646,0.030159,-0.82065
0.634129,0.044963,-0.80904
0.145698,0.013842,-0.8324
0.830763,0.03071,-0.84017
0.970098,0.00372,-0.85096
0.469767,-0.015517,-0.83973
0.341801,-0.024935,-0.84674
0.927546,-0.06595,-0.84374
0.897303,-0.028098,-0.8302
0.268901,0.010995,-0.8492
0.539891,-0.026407,-0.84186
0.987737,-0.052237,-0.83533
0.772428,-0.009583,-0.82505
0.036547,0.045018,-0.85778
0.724772,-0.010649,-0.84
0.996099,0.012707,-0.83813
0.591453,-0.049397,-0.82136
0.216278,-0.041585,-0.83057
0.877181,-0.027426,-0.82948
0.938577,0.054046,-0.82797
0.356149,0.000452,-0.82284
0.471848,-0.030107,-0.8446
0.9753,0.039237,-0.8283
0.804996,-0.032598,-0.81158
0.076523,0.003709,-0.82684
0.705835,-0.036156,-0.82058
0.997249,-0.030958,-0.8645
0.592391,0.043542,-0.84833
0.2277,0.001754,-0.83423
0.888765,-0.003314,-0.82169
0.924945,-0.051023,-0.84111
0.308466,0.014178,-0.83996
0.526797,-0.138364,-0.83289
0.989312,-0.028023,-0.85548
0.748864,0.006036,-0.8259
0.025598,-0.035914,-0.86581
0.782543,-0.021927,-0.86702
0.979619,-0.084394,-0.77536
0.473329,-0.143342,-0.80615
0.374216,0.025501,-0.78093
0.952505,-0.099474,-0.79263
0.842138,-0.095606,-0.82668
0.120783,0.016668,-0.82092
0.689116,0.030032,-0.84679
0.997413,0.006023,-0.81145
0.577131,0.039252,-0.82774
0.266332,0.006716,-0.74923
0.915038,-0.106962,-0.78458
0.890669,-0.098197,-0.76935
0.208927,-0.040868,-0.73402
0.628006,-0.109469,-0.80727
0.999999,0.1181,-0.75303
0.62885,0.007354,-0.78417
0.211267,-0.003768,-0.74403
0.894377,-0.08729,-0.79079
0.9083,-0.263093,-0.73196
0.24037,0.073114,-0.71446
0.609077,-0.427106,-0.63584
0.999854,0.255487,-0.68988
0.634891,-0.297053,-0.70804
0.211642,-0.307532,-0.59148
0.898161,3.186128,-0.25868
0.901222,-0.616303,-0.09264
0.216258,0.366828,0.31568
0.634872,-0.882873,1.68499
0.999712,-0.10562,3.209
